Trade#,Date,Symbol,Direction,Entry,Stop Loss,Take Profit,Lot Size,Risk ($),Result,Gross P/L,Fee,Net P/L,Balance,Confluence,Step
38,2025-03-05,EUR_USD,LONG,1.06787,1.0642,1.09369,0.53,195.49,TP,1375.45,9.01,1366.44,14398.99,EMA_TREND_CONT,1
39,2025-03-06,EUR_USD,LONG,1.07893,1.07525,1.09369,0.59,215.98,TP,866.15,10.03,856.12,15255.11,EMA_TREND_CONT,1
40,2025-03-06,USD_JPY,SHORT,149.233,149.86243,148.096,0.4,228.83,TP,413.35,6.4,406.95,15662.07,HTF_BEARISH+SUPPLY_ZONE+EMA_TREND+3_CANDLE_HOLD,1
41,2025-03-06,USD_CHF,SHORT,0.89232,0.89473,0.88556,0.88,234.93,TP,657.96,20.68,637.28,16299.35,EMA_TREND_CONT,1
42,2025-03-06,XAG_USD,LONG,32.581,32.34746,33.394,0.21,244.49,SL,-244.49,3.15,-247.64,16051.71,HTF_BULLISH+EMA_CROSS,1
43,2025-03-06,BTC_USD,SHORT,89961.72656,94287.23594,66803.64844,0.06,240.78,SL,-240.78,10.8,-251.57,15800.14,EMA_TREND_CONT,1
44,2025-03-06,SPX500_USD,SHORT,5838.275,5881.95003,5732.471,0.54,237.0,TP,574.14,0.27,573.87,16374.01,EMA_TREND_CONT,1
45,2025-03-06,EUR_CAD,LONG,1.54978,1.54458,1.56929,0.63,245.61,SL,-245.61,13.86,-259.47,16114.54,EMA_TREND_CONT,1
46,2025-03-06,GBP_CHF,LONG,1.14938,1.1463,1.16317,0.71,241.72,SL,-241.72,20.59,-262.31,15852.23,EMA_TREND_CONT,1
47,2025-03-06,AUD_JPY,SHORT,94.392,94.87314,91.857,0.55,237.78,TP,1252.81,11.28,1241.54,17093.77,STRONG_CANDLE,1
48,2025-03-06,GBP_USD,LONG,1.29084,1.28767,1.30475,0.81,256.41,SL,-256.41,15.39,-271.8,16821.97,EMA_TREND_CONT,1
49,2025-03-07,EUR_USD,LONG,1.08057,1.07695,1.09369,0.7,252.33,TP,914.38,11.9,902.48,17724.45,EMA_TREND_CONT,1
50,2025-03-07,USD_CHF,SHORT,0.88222,0.88477,0.8734,0.95,265.87,SL,-265.87,22.32,-288.19,17436.26,EMA_TREND_CONT,2
51,2025-03-07,USD_CAD,LONG,1.4309,1.42639,1.45425,0.77,261.54,SL,-261.54,14.05,-275.6,17160.66,HTF_BULLISH+EMA_PULLBACK,2
52,2025-03-07,XAG_USD,LONG,32.567,32.35774,33.194,0.25,257.41,SL,-257.41,3.75,-261.16,16899.5,EMA_TREND_CONT,2
53,2025-03-07,EUR_CAD,LONG,1.54763,1.54247,1.55686,0.66,253.49,TP,453.64,14.52,439.12,17338.62,EMA_TREND_CONT,2
54,2025-03-07,GBP_CHF,LONG,1.13567,1.13249,1.1503,0.74,260.08,SL,-260.08,21.46,-281.54,17057.08,HTF_BULLISH+DEMAND_ZONE+EMA_TREND+3_CANDLE_HOLD,2
55,2025-03-07,AUD_JPY,SHORT,92.918,93.36297,90.139,0.64,255.86,SL,-255.86,13.12,-268.98,16788.1,EMA_TREND_CONT,2
56,2025-03-07,GBP_USD,LONG,1.2904,1.28756,1.30475,0.89,251.82,SL,-251.82,16.91,-268.73,16519.37,EMA_TREND_CONT,2
57,2025-03-07,USD_JPY,SHORT,147.651,148.20197,141.642,0.5,247.79,SL,-247.79,8.0,-255.79,16263.58,EMA_TREND_CONT,2
58,2025-03-07,NZD_USD,LONG,0.57202,0.5702,0.57719,1.34,243.95,SL,-243.95,29.48,-273.43,15990.15,EMA_TREND_CONT,2
